acc: XM_023222765.2, len: 3756
acc: XM_015147230.2, len: 3761
acc: XM_012000828.1, len: 3575
acc: XM_012000827.1, len: 3567
acc: XM_023518937.1, len: 2766
acc: XM_035279139.1, len: 3695
acc: XM_035279137.1, len: 3698
acc: XM_035279136.1, len: 3830
acc: XM_035279138.1, len: 3695
acc: XM_005542208.2, len: 3935
acc: XM_005542209.1, len: 3761
acc: XM_031652258.1, len: 3568
acc: XM_021922594.2, len: 3926
acc: XM_025383201.1, len: 3294
acc: XM_024242214.1, len: 3757
acc: XM_024242206.1, len: 3744
acc: XM_011736938.1, len: 3761
acc: XM_011736937.1, len: 3930
acc: XM_033195435.1, len: 5451
acc: XM_030935863.1, len: 4788
acc: XM_010360769.2, len: 5453
acc: XM_012067655.1, len: 5458
acc: XM_017864858.1, len: 5453
acc: XM_034946079.1, len: 3562
acc: XM_034946078.1, len: 3602
acc: AK316069.1, len: 3377
acc: XM_012083237.1, len: 3691
acc: XM_012083236.1, len: 3775
acc: XM_012083235.1, len: 3930
acc: XM_025383190.1, len: 3575
acc: XM_025383181.1, len: 3766
acc: XM_025383173.1, len: 3744
acc: XR_003119076.1, len: 3938
acc: XM_003795197.2, len: 3159
acc: XM_031654443.1, len: 5456
acc: XM_011970396.1, len: 5460
acc: XM_012449685.2, len: 3848
acc: XM_021667401.1, len: 5160
acc: XM_003937941.3, len: 5138
acc: XM_025377121.1, len: 3338
acc: XM_026447323.2, len: 3602
acc: XM_026447322.1, len: 3888
acc: BC003077.2, len: 3671
acc: NM_000701.8, len: 3670
acc: XM_017001361.1, len: 6302
acc: XM_017001360.1, len: 6960
acc: NM_001160233.2, len: 3765
acc: NM_001160234.2, len: 3574
acc: AK296362.1, len: 3346
acc: BC050359.1, len: 3665
acc: AK314777.1, len: 3256
acc: D00099.1, len: 4108
acc: NM_000702.4, len: 5435
acc: KU177927.1, len: 3060
acc: BC052271.1, len: 4645
acc: AL831997.1, len: 5287
acc: AL831991.1, len: 5270
acc: AB018321.2, len: 5411
acc: BC047533.1, len: 5440
acc: AK314296.1, len: 3166
acc: XM_003811890.3, len: 5470
acc: XM_016930289.2, len: 5449
acc: BC015566.2, len: 3549
acc: BC009282.2, len: 3551
acc: NM_001256214.2, len: 3590
acc: NM_152296.5, len: 3551
acc: NM_001256213.2, len: 3466
acc: AK296557.1, len: 3427
acc: AK295833.1, len: 3424
acc: AK295078.1, len: 3588
acc: AK223569.1, len: 3338
acc: NM_001133855.1, len: 3576
acc: XM_011936569.1, len: 3594
acc: XM_011936568.1, len: 3633
acc: XM_011936567.1, len: 3442
acc: XR_002956654.1, len: 7117
acc: XM_015442063.1, len: 3636
acc: XM_028838433.1, len: 3463
acc: XM_028838432.1, len: 3639
acc: NM_001266472.1, len: 3538
acc: XM_012458873.2, len: 3744
acc: XM_012458876.1, len: 3553
acc: XM_012458874.1, len: 3568
acc: XM_039460844.1, len: 3934
acc: XM_002751282.5, len: 3749
acc: XM_033198090.1, len: 3589
acc: XM_033198084.1, len: 3627
acc: XM_012749178.2, len: 3754
acc: XM_012661887.1, len: 3096
acc: XM_024246403.1, len: 3854
acc: XM_003811891.2, len: 4193
acc: BC068570.1, len: 3660
acc: NM_144699.4, len: 3809
acc: AF506797.1, len: 3655
acc: XM_032154002.1, len: 3831
acc: XM_016930297.1, len: 3644
acc: BC094801.1, len: 3618
acc: AK295095.1, len: 3614
